ID (AXXXX);Area;Collector_site;Sorted_as;Collection;Weight [gram];Product type (#);Manufacturing method (K, T, Others (O), Unknown (U));Membrane (0,1);Color;Wearer/purpose (M, F, U);Age category (A, C, B);Brand Source (0,1);Company/brand;Number of velcro  (0,1+);Number of metal buttons  (0,1+);Number of plastic buttons  (0,1+);Number of metal zippers  (0,1+);Number of plastic zippers  (0,1+);Number of metal rivets, eyelets or aglets (0,1+);Number of pearls (0,1+);Sequins (0,1);Reflector (0,1+);Print (0,1);Print > 100 cm² (0,1);All over printed (0,1);Other extra parts (0,1+);Care Label Present (0,1);Readable label (0,1);Number of Layers (1+);Number of fibre (1+);Made in;Year present obvious (0,1);Production year (XXXX);Guess Year (n, o, u);Code (CVR/CA/RN) if no brand;Price Tag (0,1);Degree-of-wear (Condition scale, 1-5);Holes in front (0,1+);Holes in total (0,1+);Homemade (0,1);Fibre 1 Layer 1;Fibre 1 Layer 1 [%];Fibre 2 Layer 1;Fibre 2 Layer 1 [%];Fibre 3 Layer 1;Fibre 3 Layer 1 [%];Fibre 4 Layer 1;Fibre 4 Layer 1 [%];Fibre 5 Layer 1;Fibre 5 Layer 1 [%];Fibre 6 Layer 1;Fibre 6 Layer 1 [%];Fibre 1 Layer 2;Fibre 1 Layer 2 [%];Fibre 2 Layer 2;Fibre 2 Layer 2 [%];Fibre 3 Layer 2;Fibre 3 Layer 2 [%];Fibre 4 Layer 2;Fibre 4 Layer 2 [%];Fibre 5 Layer 2;Fibre 5 Layer 2 [%];Fibre 6 Layer 2;Fibre 6 Layer 2 [%];Fibre 1 Layer 3;Fibre 1 Layer 3 [%];Fibre 2 Layer 3;Fibre 2 Layer 3 [%];Fibre 3 Layer 3;Fibre 3 Layer 3 [%];Fibre 4 Layer 3;Fibre 4 Layer 3 [%];Fibre 5 Layer 3;Fibre 5 Layer 3 [%];Fibre 1 Layer 4;Fibre 1 Layer 4 [%];Fibre 2 Layer 4;Fibre 2 Layer 4 [%]
A0192;Aalesund;Attvin_multiple;T_waste;Central;421;5;t;0;blue;f;c;1;h&m;0;1;0;1;0;0;0;0;0;0;0;NaN;0;1;1;3;3;tur;0;NaN;n;ca4264134;0;5;4;5;0;cotton;88;polyester;10;elastane;2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0193;Aalesund;Attvin_multiple;T_waste;Central;45;12;k;0;pink;f;b;1;devold;0;3;0;0;0;0;0;0;0;1;0;NaN;0;1;1;1;1;not declared;0;NaN;n;NaN;0;4;0;0;0;polyester;100;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0214;Aalesund;Attvin_multiple;T_waste;Central;85;2;t;0;blue;f;a;0;NaN;NaN;0;0;0;0;0;0;0;NaN;1;1;NaN;NaN;0;0;1;1;not declared;0;NaN;NaN;NaN;0;4;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0215;Aalesund;Attvin_multiple;T_waste;Central;125;1;t;0;blue;m;a;1;hummel;NaN;0;0;0;0;0;0;0;NaN;1;1;NaN;NaN;1;1;1;2;ind;0;NaN;NaN;rn 104932;0;3;0;0;0;cotton;80;polyester;20;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0216;Aalesund;Attvin_multiple;T_waste;Central;174;1;t;0;white;u;a;1;you;NaN;0;0;0;0;0;0;0;NaN;1;1;NaN;NaN;1;1;1;1;not declared;0;NaN;NaN;NaN;0;5;0;0;0;cotton;100;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0217;Aalesund;Attvin_multiple;T_waste;Central;207;8;t;0;red;f;c;1;lindex;NaN;0;4;0;0;0;0;0;NaN;0;0;NaN;NaN;1;1;1;1;not declared;0;NaN;NaN;NaN;0;3;0;0;0;cotton;100;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0218;Aalesund;Attvin_multiple;T_waste;Central;248;5;t;0;grey;m;c;1;h&m;NaN;0;0;0;0;0;0;0;NaN;1;1;NaN;NaN;1;1;1;2;not declared;0;NaN;NaN;o/n 202707;0;3;0;0;0;polyester;20;cotton;80;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0219;Aalesund;Attvin_multiple;T_waste;Central;153;1;t;0;white;u;a;0;NaN;NaN;0;0;0;0;0;0;0;NaN;1;1;NaN;NaN;1;1;1;2;ind;0;NaN;NaN;2,8783E+16;0;4;0;0;0;cotton;95;elastane;5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0220;Aalesund;Attvin_multiple;T_waste;Central;405;26;t;0;red;m;a;1;cubus;NaN;0;0;0;0;0;0;0;NaN;0;0;NaN;NaN;1;1;1;1;bgd;0;NaN;NaN;7259729290;0;4;0;0;0;cotton;100;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0221;Aalesund;Attvin_multiple;T_waste;Central;102;1;t;0;blue;m;a;1;h&m;NaN;0;0;0;0;0;0;0;NaN;1;1;NaN;NaN;1;1;1;1;idn;0;NaN;NaN;o/n 220062;0;4;0;0;0;polyester;100;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0222;Aalesund;Attvin_multiple;T_waste;Central;281;5;t;0;white;u;a;0;NaN;NaN;0;0;0;0;0;0;0;NaN;0;0;NaN;NaN;0;0;1;2;not declared;0;NaN;NaN;NaN;0;1;1;1;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0223;Aalesund;Attvin_multiple;T_waste;Central;212;1;t;0;black;m;a;1;vic bay;NaN;0;0;0;0;0;0;0;NaN;0;0;NaN;NaN;1;1;1;1;zaf;0;NaN;NaN;vat no. 4260192697;0;4;0;0;0;cotton;100;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0224;Aalesund;Attvin_multiple;T_waste;Central;258;5;t;0;blue;u;a;1;swiss;NaN;0;0;0;0;0;0;0;NaN;0;0;NaN;NaN;0;0;1;2;not declared;0;NaN;NaN;NaN;0;4;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0225;Aalesund;Attvin_multiple;T_waste;Central;121;5;t;0;multi-color;m;c;1;cubus;NaN;0;0;0;0;0;0;0;0;1;0;NaN;0;1;1;1;1;bgd;0;NaN;NaN;8318704-000;0;4;0;0;0;cotton;100;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0226;Aalesund;Attvin_multiple;T_waste;Central;346;26;t;0;blue;m;a;1;h&m;NaN;0;0;0;0;0;0;0;0;1;1;NaN;0;1;1;1;2;tur;0;NaN;NaN;o/n 382512;0;3;0;0;0;cotton;83;polyester;17;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0228;Aalesund;Attvin_multiple;T_waste;Central;65;6;o;0;multi-color;f;a;1;terranova;NaN;0;0;0;0;0;0;0;0;0;0;NaN;0;1;1;1;1;egy;0;NaN;NaN;NaN;0;4;0;0;0;polyester;100;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0229;Aalesund;Attvin_multiple;T_waste;Central;187;1;t;0;brown;u;a;1;trasher;0;0;0;0;0;0;0;0;0;1;NaN;NaN;NaN;1;0;1;1;dom;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0230;Aalesund;Attvin_multiple;T_waste;Central;248;12;k;0;pink;f;b;0;NaN;0;0;6;0;0;0;0;0;0;0;0;NaN;NaN;0;0;NaN;1;nor;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0231;Aalesund;Attvin_multiple;T_waste;Central;173;1;t;0;black;m;a;1;clique;0;0;0;0;0;0;0;0;0;1;NaN;NaN;NaN;1;0;1;1;bgd;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0232;Aalesund;Attvin_multiple;T_waste;Central;561;26;t;0;brown;u;a;1;district fortysix;0;0;0;0;0;0;0;0;0;1;NaN;NaN;NaN;1;0;1;2;tur;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0233;Aalesund;Attvin_multiple;T_waste;Central;525;5;t;0;blue;m;a;1;jean paul;0;1;0;1;0;5;0;0;0;1;NaN;NaN;NaN;1;0;1;2;chn;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0234;Aalesund;Attvin_multiple;T_waste;Central;778;5;t;0;black;m;a;1;sweet skateboards;0;1;0;1;0;6;0;0;0;1;NaN;NaN;NaN;1;0;1;2;tur;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0235;Aalesund;Attvin_multiple;T_waste;Central;333;5;t;0;grey;f;a;1;weekday;0;1;0;1;0;6;0;0;0;0;0;NaN;NaN;1;0;1;3;ind;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0236;Aalesund;Attvin_multiple;T_waste;Central;137;1;t;0;multi-color striped;m;a;1;winwin horgan;0;0;0;0;0;0;0;0;0;0;0;NaN;NaN;0;0;1;1;bgd;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0238;Aalesund;Attvin_multiple;T_waste;Central;67;12;t;0;multi-color pattern;m;b;1;cubus;0;5;0;0;0;0;0;0;0;0;0;NaN;NaN;1;0;1;1;chn;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0239;Aalesund;Attvin_multiple;T_waste;Central;163;11;t;0;black;f;a;1;craft;0;0;0;0;3;0;0;0;0;1;NaN;NaN;NaN;1;0;1;1;chn;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0240;Aalesund;Attvin_multiple;T_waste;Central;417;5;t;0;grey;f;a;1;h&m;0;1;0;0;0;6;0;0;0;0;0;NaN;NaN;1;0;1;3;bgd;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0241;Aalesund;Attvin_multiple;T_waste;Central;65;12;t;0;multi-color pattern;f;b;1;lindex;0;5;0;0;0;0;0;0;0;0;0;NaN;NaN;1;0;1;1;chn;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0242;Aalesund;Attvin_multiple;T_waste;Central;68;12;t;0;multi-color pattern;u;b;1;mohini;0;7;0;0;0;0;0;0;0;0;0;NaN;NaN;0;0;1;1;chn;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0243;Aalesund;Attvin_multiple;T_waste;Central;63;8;t;0;multi-color striped;f;b;1;kappahl;0;0;5;0;0;0;0;0;0;0;0;NaN;NaN;1;0;1;1;ind;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0245;Aalesund;Attvin_multiple;T_waste;Central;153;5;t;0;black;f;a;1;russell athletic;NaN;0;0;0;0;0;0;0;0;1;1;NaN;0;1;1;1;1;mar;0;NaN;NaN;NaN;0;4;0;0;0;cotton;100;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0246;Aalesund;Attvin_multiple;T_waste;Central;431;26;k;0;black;u;a;1;ullfrotte;NaN;0;0;0;0;0;0;0;0;1;0;NaN;0;1;1;1;4;not declared;0;NaN;NaN;NaN;0;3;1;1;0;wool;55;acryl;20;polyester;20;elastane;5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0247;Aalesund;Attvin_multiple;T_waste;Central;158;11;t;0;multi-color;f;a;1;kari traa;NaN;0;0;0;0;0;0;0;0;1;0;NaN;0;1;1;1;1;mmr;0;NaN;NaN;ca 57037;0;4;0;0;0;polyester;100;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0248;Aalesund;Attvin_multiple;T_waste;Central;115;7;t;0;pink;f;c;1;devold;NaN;0;0;0;0;0;0;0;0;0;0;NaN;0;0;0;1;1;ltu;0;NaN;NaN;NaN;0;2;1;1;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0249;Aalesund;Attvin_multiple;T_waste;Central;97;28;t;0;pink;f;c;1;name it;NaN;0;0;0;0;0;0;0;0;0;0;NaN;0;1;1;1;NaN;bgd;0;NaN;NaN;NaN;0;3;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;cotton;100;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0250;Aalesund;Attvin_multiple;T_waste;Central;169;1;t;0;red;u;a;1;clique;NaN;0;0;0;0;0;0;0;0;1;1;NaN;0;1;1;1;1;bgd;0;NaN;NaN;c412403;0;4;0;0;0;cotton;100;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0251;Aalesund;Attvin_multiple;T_waste;Central;90;26;t;0;red;f;a;1;pierre robert;NaN;0;0;0;0;0;0;0;0;0;0;NaN;0;0;0;1;1;not declared;0;NaN;NaN;NaN;0;4;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;polyester;100;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0252;Aalesund;Attvin_multiple;T_waste;Central;136;8;t;0;multi-color;f;a;0;NaN;NaN;0;0;0;0;0;0;0;0;0;0;NaN;0;0;0;1;NaN;not declared;0;NaN;NaN;NaN;0;5;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0254;Aalesund;Attvin_multiple;T_waste;Central;361;26;t;0;pink;f;c;1;lindex;NaN;0;0;0;0;0;0;0;0;1;1;NaN;0;0;0;1;2;bgd;0;NaN;NaN;NaN;0;4;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0255;Aalesund;Attvin_multiple;T_waste;Central;524;26;k;0;multi-color;f;c;0;NaN;NaN;0;0;0;0;0;0;0;0;0;0;NaN;0;0;0;1;NaN;nor;0;NaN;NaN;NaN;0;5;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;wool;100;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0256;Aalesund;Attvin_multiple;T_waste;Central;143;2;t;0;multi-color;f;a;1;lindex;NaN;0;0;0;0;0;0;0;0;0;0;NaN;0;1;1;1;2;chn;0;NaN;NaN;NaN;0;4;0;0;0;polyester;88;elastane;12;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0257;Aalesund;Attvin_multiple;T_waste;Central;37;15;o;0;multi-color pattern;f;c;0;NaN;0;0;0;0;0;0;0;0;0;0;0;NaN;4;1;1;2;2;chn;0;NaN;n;rn88842;0;4;0;0;0;polyamide or nylon;80;elastane;20;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0258;Aalesund;Attvin_multiple;T_waste;Central;209;28;k;0;multi-color;m;a;1;kask rider;0;0;0;0;0;0;0;0;0;1;0;NaN;0;1;1;1;1;ltu;0;NaN;n;NaN;0;5;0;0;0;wool;100;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0259;Aalesund;Attvin_multiple;T_waste;Central;109;28;t;0;blue;f;a;1;kari traa;0;0;0;0;0;0;0;0;0;1;1;NaN;0;1;1;2;2;not declared;0;NaN;n;NaN;0;4;0;0;0;polyamide or nylon;95;elastane;5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0260;Aalesund;Attvin_multiple;T_waste;Central;171;5;t;0;black;f;a;1;2xu;0;0;0;0;0;0;0;0;2;1;1;NaN;0;1;1;2;2;tha;0;NaN;n;NaN;0;4;0;0;0;polyamide or nylon;80;elastane;20;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0262;Aalesund;Attvin_multiple;T_waste;Central;141;1;t;0;blue;m;a;1;winwin;0;0;0;0;0;0;0;0;0;0;0;NaN;0;1;1;1;1;bgd;0;NaN;n;NaN;0;4;0;0;0;cotton;100;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0263;Aalesund;Attvin_multiple;T_waste;Central;42;12;t;0;white;u;b;1;cubus;0;0;0;0;0;0;0;0;0;0;0;NaN;0;0;1;3;3;tur;0;NaN;n;NaN;0;4;0;0;0;cotton;78;polyamide or nylon;20;elastane;2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
A0264;Aalesund;Attvin_multiple;T_waste;Central;96;1;t;0;blue;m;a;1;nike;0;0;0;0;0;0;0;0;0;1;0;NaN;0;0;0;1;1;lka;0;NaN;n;NaN;0;5;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
